,Position,Advancement of f/g/h Pawns,Advancement of a/b/c Pawns,Pawn Play in the Center
"""STS(v8.0) AKPC.001""",1qr2k1r/pb3pp1/1b2p2p/3nP3/1p6/3B2QN/PP3PPP/R1BR2K1 b - -,1,0,0
"""STS(v8.0) AKPC.002""",1r1qr1k1/p5b1/2p2ppp/3p4/1Pp5/P1Nn1Q2/3BN1PP/R4RK1 b - -,1,0,0
"""STS(v8.0) AKPC.003""",1r1rq1k1/1p4p1/pNb1pp1p/1pP5/3P4/1PQ5/5PPP/R3R1K1 w - -,1,0,0
"""STS(v8.0) AKPC.004""",1r3r2/1p3q1k/1Q1p4/2pNbpp1/2P5/7P/PP2R1P1/3R3K b - -,1,0,0
"""STS(v8.0) AKPC.005""",1r4k1/2p2p1p/4n1p1/2qpP3/2nN4/1BPQ4/Pr3PPP/3RR1K1 w - -,1,0,0
"""STS(v8.0) AKPC.006""",1r4k1/3q2pp/2np4/2p1pp2/2P1P3/R1BP1Q1P/5PP1/6K1 b - -,1,0,0
"""STS(v8.0) AKPC.007""",1r4k1/ppq2ppp/r4nn1/P2p4/2pP4/B1P1P1PP/1Q1N1PK1/RR6 b - -,1,0,0
"""STS(v8.0) AKPC.008""",1rb1r1k1/4qpb1/p1np1npp/1pp5/2P1PN2/1P3PP1/PB4BP/1QRR1N1K b - -,1,0,0
"""STS(v8.0) AKPC.009""",1rq1n3/2pr3k/2n1bppp/p1PNp3/Pp2P3/1P2Q1PP/3R1PBK/3RN3 w - -,1,0,0
"""STS(v8.0) AKPC.010""",2b2kn1/5ppQ/1r5p/p2pN3/1qpP1PP1/5P2/P6P/1B4RK w - -,1,0,0
"""STS(v8.0) AKPC.011""",2qn4/p5k1/1p1Qbpp1/1B1p3p/3P3P/2P5/P4PP1/4N1K1 w - -,1,0,0
"""STS(v8.0) AKPC.012""",2r1r1k1/p2b2bp/1pn1p1pq/4Pp2/2BP4/P4N2/1P2NQPP/2R2RK1 w - -,1,0,0
"""STS(v8.0) AKPC.013""",2r2bk1/p1q2p2/4p1p1/3nP1B1/1p2Q2P/1P3N2/Pr3PP1/R4RK1 w - -,1,0,0
"""STS(v8.0) AKPC.014""",2r2k1r/1q1nbpp1/p2p4/1p1Pp3/8/P1B2BP1/1PP1QP2/3RR1K1 b - -,1,0,0
"""STS(v8.0) AKPC.015""",2r2rk1/1b1qb1pp/p2p4/1p1PpP2/4Q3/1P2BN1P/P4PP1/R3R1K1 w - -,1,0,0
"""STS(v8.0) AKPC.016""",2r2rk1/2qbnppp/1p2p3/p2pPn2/P5QP/2PB1N2/2PB1PP1/1R2R1K1 w - -,1,0,0
"""STS(v8.0) AKPC.017""",2r2rk1/p3ppbp/1pnp1np1/4q3/2P1P3/PPN1B2P/2Q1BPP1/R2R2K1 w - -,1,0,0
"""STS(v8.0) AKPC.018""",2r2rk1/p4qb1/1p1ppp2/2n1n1pp/2PN4/1PN2PPP/P1QBP1K1/2RR4 w - -,1,0,0
"""STS(v8.0) AKPC.019""",2r2rk1/pq2ppbp/1pnp1np1/8/2P1P3/2N1BP2/PPQ1BPKP/3R1R2 w - -,1,0,0
"""STS(v8.0) AKPC.020""",2r3k1/p3np1p/1p1pp1p1/4b3/1PP5/P3B2P/2R2PP1/3R3K w - -,1,0,0
"""STS(v8.0) AKPC.021""",2r3k1/pp2p1b1/q2pP1p1/3pnrPp/P7/1P5P/2PB1PB1/2RQR1K1 w - -,1,0,0
"""STS(v8.0) AKPC.022""",2r5/1bq3kp/4pNp1/3pP1Q1/2pP4/7P/5PP1/R5K1 w - -,1,0,0
"""STS(v8.0) AKPC.023""",2r5/5k2/p1n3p1/P1Pqpp1p/3n4/4BPQN/6PP/3R3K w - -,1,0,0
"""STS(v8.0) AKPC.024""",2rr1bk1/p4pp1/1p2q2p/1PpN4/2Q1P3/P4PP1/3R3P/3R2K1 w - -,1,0,0
"""STS(v8.0) AKPC.025""",2rr2k1/5ppp/p3p3/1p2P3/1Pn5/2B1PqP1/P1Q2P1P/3RR1K1 b - -,1,0,0
"""STS(v8.0) AKPC.026""",3bn1k1/1bq1npp1/3p3p/1p1Pp3/1Pp1P3/2P1B1NP/2BN1PPK/Q7 b - -,1,0,0
"""STS(v8.0) AKPC.027""",3q1r2/2r2ppk/5b1p/2pBpR2/P3P2P/1P4PK/5Q2/5R2 w - -,1,0,0
"""STS(v8.0) AKPC.028""",3q2k1/rb1r3p/6p1/pQRp1p2/3N3P/1P2PBP1/P4P2/6K1 w - -,1,0,0
"""STS(v8.0) AKPC.029""",3q3k/3r1p1p/4p3/p4p2/PbP2Q1P/1p3N2/1P2KPP1/1R6 b - -,1,0,0
"""STS(v8.0) AKPC.030""",3q3k/5p1p/3rp3/p4p1P/PbP2Q2/1p3N2/1P2KPP1/1R6 b - -,1,0,0
"""STS(v8.0) AKPC.031""",3qr1k1/5r1p/p1p1n1p1/Ppp1Q3/4Pp2/1P1P1N1P/2P2RPK/R7 b - -,1,0,0
"""STS(v8.0) AKPC.032""",3qrr1k/pp1n1ppp/2n3b1/2p5/3Pp1P1/P1P1P2P/BB2QPN1/2RR2K1 b - -,1,0,0
"""STS(v8.0) AKPC.033""",3r1r1k/1p2q2b/p1p1p2p/2P1P3/PPQP1pPP/5B2/7K/4BR2 b - -,1,0,0
"""STS(v8.0) AKPC.034""",3r1rk1/pb1pb2p/1p2p1q1/1N2npp1/B1P5/4PPN1/PP2Q1PP/3R1RK1 b - -,1,0,0
"""STS(v8.0) AKPC.035""",3r1rk1/pb2bppp/1pp1p3/2n1P2Q/2P1P3/1Pp2NP1/P4PBP/2R3K1 b - -,1,0,0
"""STS(v8.0) AKPC.036""",3r2k1/2q1rp2/4p1p1/2p1P2p/1p3Q2/1P1bP1PP/P4RBK/2R5 w - -,1,0,0
"""STS(v8.0) AKPC.037""",3r2k1/3n1p1p/p1r3p1/q1P3Q1/P5B1/2R1B2P/5PP1/6K1 b - -,1,0,0
"""STS(v8.0) AKPC.038""",3r2k1/p1r3pp/Q1p1pb2/2Pn1p1q/PpBPp3/1P2P1PP/1B2RPK1/4R3 b - -,1,0,0
"""STS(v8.0) AKPC.039""",3r2r1/2qb2pk/1p2p2p/p1n1Pp2/P1PNpP2/1P2Q3/3RB1PP/3R2K1 b - -,1,0,0
"""STS(v8.0) AKPC.040""",3r4/1pq3kp/2pp1pp1/p1n1r3/P1PNP3/1P2BPPB/2Q1N1K1/8 w - -,1,0,0
"""STS(v8.0) AKPC.041""",3rb1k1/2q1b1p1/pp2p3/5p1p/1PP1p3/P3Q1PP/4P1RK/3N1R2 b - -,1,0,0
"""STS(v8.0) AKPC.042""",3rb1k1/2q1b1pp/pp2p3/5p2/1PP1p3/P3Q1PP/4PR1K/3N1R2 b - -,1,0,0
"""STS(v8.0) AKPC.043""",3rrk2/p2n1p1B/1pq4p/2ppB1p1/2bP4/PnN1PP2/1PQ3PP/3RR1K1 w - -,1,0,0
"""STS(v8.0) AKPC.044""",4b1k1/pp1qbpp1/4p3/4Q2p/8/2P1N1P1/PP3PBP/6K1 b - -,1,0,0
"""STS(v8.0) AKPC.045""",4qr1k/p4n1p/1p1p2p1/2pQ1n2/2P1NB2/P1P2P2/5KPP/3R4 w - -,1,0,0
"""STS(v8.0) AKPC.046""",4r1k1/p4bpp/1p6/1P6/2PQ4/4rPq1/PR2PRB1/6K1 b - -,1,0,0
"""STS(v8.0) AKPC.047""",4r2k/6p1/2b2p2/pq5p/r2P2P1/2P1N1PP/B2Q1K2/4R3 b - -,1,0,0
"""STS(v8.0) AKPC.048""",4r3/2pq1pk1/1r4p1/p2pP1Np/1pnP4/2PQ3P/P3RPP1/4R1K1 w - -,1,0,0
"""STS(v8.0) AKPC.049""",4r3/p4rk1/1p4p1/3Rp1q1/4P2p/2Q2P2/P5PP/3R1K2 w - -,1,0,0
"""STS(v8.0) AKPC.050""",4rr1k/1pq3bp/p1b2np1/P1Ppp3/1P1N2P1/1B3PB1/Q6P/3RR1K1 b - -,1,0,0
"""STS(v8.0) AKPC.051""",4rr1k/2q5/1pnn1b1p/p1p2b2/N1PppPp1/PP1P4/2QBPPBP/3R1RNK b - -,1,0,0
"""STS(v8.0) AKPC.052""",5k1r/1b2rp2/pR4pp/1p3n2/2p5/2N5/PP3PPP/3Q2K1 w - -,1,0,0
"""STS(v8.0) AKPC.053""",5k2/q7/2p2pp1/4p1pn/1pP1PnN1/1P2RPPP/3r1B1K/5Q2 b - -,1,0,0
"""STS(v8.0) AKPC.054""",5r1k/2qb1ppp/6nb/3B4/pp1BQ3/5NP1/P1P2P1P/4R1K1 w - -,1,0,0
"""STS(v8.0) AKPC.055""",5r1k/2qb1ppp/6nb/3B4/ppPBQ3/5NP1/P4P1P/4R1K1 w - -,1,0,0
"""STS(v8.0) AKPC.056""",5r2/3br1kp/3q2p1/1pNp4/1P1Pnp2/5B2/2P1R1PP/2Q2RK1 b - -,1,0,0
"""STS(v8.0) AKPC.057""",5rk1/2r1bpp1/p2p1n1p/1p2pP2/1P3q2/1BP4P/PB3PP1/R2QR1K1 w - -,1,0,0
"""STS(v8.0) AKPC.058""",5rk1/5p2/pnB1p1pp/q3P3/2nP1P2/1R1N3P/6PK/2Q5 w - -,1,0,0
"""STS(v8.0) AKPC.059""",5rk1/p1r3pp/1p2q3/1P1p4/1QnB2P1/2R1PP1P/4R1K1/8 b - -,1,0,0
"""STS(v8.0) AKPC.060""",6k1/2qn3p/pp1pprpB/5r2/1PP5/P4PbP/3QB1P1/2R2RK1 w - -,1,0,0
"""STS(v8.0) AKPC.061""",6k1/5p1p/1p1n2pP/1n6/q1rP4/2pQP3/r1N2PP1/BRR3K1 b - -,1,0,0
"""STS(v8.0) AKPC.062""",6k1/p2nqpp1/Qp2p2p/8/3PNb2/P4N2/1Pr2PPP/4R1K1 w - -,1,0,0
"""STS(v8.0) AKPC.063""",8/3qpk2/1p3r1p/p1pPRp2/2P2P2/P4KPP/4Q3/8 w - -,1,0,0
"""STS(v8.0) AKPC.064""",8/3r1pk1/p1pqp1p1/8/P1Pb4/5RPP/2Q5/4R2K b - -,1,0,0
"""STS(v8.0) AKPC.065""",8/6pk/p5rp/2NpPq2/2bPp2b/P3P1P1/6Q1/1R2B1K1 b - -,1,0,0
"""STS(v8.0) AKPC.066""",b4rk1/2pq1pp1/3p3p/B1p5/2PpP1n1/3P2P1/PR1Q1PBP/6K1 b - -,1,0,0
"""STS(v8.0) AKPC.067""",b4rk1/p2q1pp1/3p3p/B1p5/2PpP1n1/P2P2P1/1R1Q1PBP/6K1 b - -,1,0,0
"""STS(v8.0) AKPC.068""",b5k1/6bp/3qp1p1/3n2P1/5P1K/2rBB3/6NP/3R1Q2 b - -,1,0,0
"""STS(v8.0) AKPC.069""",n1rr2k1/3qppbp/p1nP2p1/6P1/5P1Q/1P2B3/P4PBP/2RR2K1 w - -,1,0,0
"""STS(v8.0) AKPC.070""",nr4k1/1p1qrpb1/p6p/P2p2p1/1P1N4/4B1P1/2RQ1PKP/2R5 w - -,1,0,0
"""STS(v8.0) AKPC.071""",q5k1/4bpp1/r3p2p/2p5/1pP5/1P3NPP/1RQ1PP2/6K1 b - -,1,0,0
"""STS(v8.0) AKPC.072""",r1b1r1k1/1p1nqpbp/2ppn1p1/1P6/2P1P3/2N1BPP1/2Q1N1BP/1R1R2K1 w - -,1,0,0
"""STS(v8.0) AKPC.073""",r1b2rk1/1pp1q1b1/2nppn1p/pN3pp1/2PP4/1Q4PN/PP2PPBP/R1BR2K1 w - -,1,0,0
"""STS(v8.0) AKPC.074""",r1b2rk1/p4pp1/1q2p2p/1p1n4/3b2N1/3B2Q1/PPP2PPP/R1B2RK1 b - -,1,0,0
"""STS(v8.0) AKPC.075""",r1b2rk1/pp2qppp/n2p4/2pPp3/P1N1P3/3P4/1P2BPPP/R1Q2RK1 w - -,1,0,0
"""STS(v8.0) AKPC.076""",r1b2rk1/pp3pp1/1q2p2p/3n4/3b2N1/3B2Q1/PPP2PPP/R1B2RK1 b - -,1,0,0
"""STS(v8.0) AKPC.077""",r1b4r/pp3k1p/3R1p2/B1p5/2P4Q/5q2/PP2NP1P/2K5 b - -,1,0,0
"""STS(v8.0) AKPC.078""",r1q1k2r/3n3p/p5p1/1pbpP3/2p2P2/8/PPB1QP1P/R1B2RK1 w kq -,1,0,0
"""STS(v8.0) AKPC.079""",r1q2rk1/p3npb1/1pnBb1pp/2p1P3/8/2N2NPP/PP2QPB1/R4RK1 w - -,1,0,0
"""STS(v8.0) AKPC.080""",r1r3k1/1bqn1pbp/pp1pp1p1/4n3/2P2N1P/1PN1PP2/P2BB1P1/2R1QRK1 w - -,1,0,0
"""STS(v8.0) AKPC.081""",r2q1rk1/1p2n1bp/p1npp1p1/2p1p3/4P3/N1PPB1PP/1P3PB1/R2QR1K1 w - -,1,0,0
"""STS(v8.0) AKPC.082""",r2q1rk1/1p2p3/2p2ppp/p2n1b2/P2P4/1B3N1P/1PP2PP1/R2QR1K1 b - -,1,0,0
"""STS(v8.0) AKPC.083""",r2r2k1/1p3p1p/1qbppQp1/p7/4P3/P1NR4/1P3PPP/1R4K1 w - -,1,0,0
"""STS(v8.0) AKPC.084""",r2r2k1/2pq1pp1/p1p2b1p/5p2/P2P4/2N3P1/1PQ1PP1P/R2R2K1 b - -,1,0,0
"""STS(v8.0) AKPC.085""",r2r2k1/pp1qppbp/2p1bnp1/4B3/3P2P1/4QN1P/PP2PPB1/R1R3K1 b - -,1,0,0
"""STS(v8.0) AKPC.086""",r3k3/1p1n1p2/2p1r1p1/3bP3/3P3Q/8/p1B2PPP/R5K1 w q -,1,0,0
"""STS(v8.0) AKPC.087""",r3qrk1/1p4bp/1n1p1p1n/pPpPp1p1/P3P3/1P1N3P/3B1PP1/2QBRRK1 w - -,1,0,0
"""STS(v8.0) AKPC.088""",r3qrk1/2p3pp/np6/3pN3/p2P4/P5P1/1PQ1PP2/3R1RK1 w - -,1,0,0
"""STS(v8.0) AKPC.089""",r3r1k1/1pq4p/p2b1pp1/3pnb2/3N3Q/2P5/PP1B1PPP/R3RBK1 b - -,1,0,0
"""STS(v8.0) AKPC.090""",r3r1k1/4qpp1/2p5/p1ppP2p/6P1/1PQ2P1P/P1P5/3RR1K1 w - -,1,0,0
"""STS(v8.0) AKPC.091""",r3r1k1/pn1bnpp1/1p2p2p/1q1pP3/2pP1P1N/B1P2BP1/2P3QP/R4RK1 w - -,1,0,0
"""STS(v8.0) AKPC.092""",r3rb2/1p3k2/p1p2p2/2q2bpp/2PR4/1PQ4P/P4PPB/3R1BK1 b - -,1,0,0
"""STS(v8.0) AKPC.093""",r4k2/1b1qbp2/2pnp1r1/pp2B2p/2pPP1pP/P1N2P2/1P2B1PQ/2RR2K1 b - -,1,0,0
"""STS(v8.0) AKPC.094""",r4rk1/1b3pbp/1qp1p1p1/p2n2B1/3P3P/P2B1N2/1PQ2PP1/R3R1K1 w - -,1,0,0
"""STS(v8.0) AKPC.095""",r4rk1/1p1qn1bp/p1npp1p1/2p1p3/4P2P/N1PPB1P1/1P3PB1/R2QR1K1 w - -,1,0,0
"""STS(v8.0) AKPC.096""",r4rk1/1p2qppp/1np5/p2pNb2/P2Pn3/2NBP3/1PQ2PPP/2R2RK1 b - -,1,0,0
"""STS(v8.0) AKPC.097""",r4rk1/1pq1p3/2p2ppp/p2n1b2/P2P4/1B3N1P/1PP2PP1/R2QR1K1 b - -,1,0,0
"""STS(v8.0) AKPC.098""",r4rk1/3n1pbp/3Pq1p1/4p3/p7/2Q1B1N1/P2R1PPP/2R3K1 b - -,1,0,0
"""STS(v8.0) AKPC.099""",r4rk1/ppp1qp1p/2p3p1/4n3/4P2P/2N1QP2/PPP2P2/2KR3R w - -,1,0,0
"""STS(v8.0) AKPC.100""",r5k1/p2b1r2/1p1p1q2/2pPbp1p/P1P1p3/1P4P1/2RQNPBP/4R1K1 b - -,1,0,0
"""STS(v9.0) Advancement of a/b/c pawns.001""",1b2r1k1/1bqn1pp1/p1p4p/Pp2p3/1P2B3/2B1PN1P/5PP1/1Q1R2K1 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.002""",1k4nr/pppr1q2/3p2p1/3Nn1Qp/2P1PN2/1P6/P1P3PR/2KR4 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.003""",1n4k1/2pb2q1/1p1p3p/3P1p2/1PP1pP2/3rN3/4N1PP/1RQ3K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.004""",1nr5/p2p1qpk/1pb1p2p/5p1P/1PP2N2/P3PPQ1/6P1/3RKB2 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.005""",1q2r1k1/1b2bpp1/p2ppn1p/2p5/P3PP1B/2PB1RP1/2P1Q2P/2KR4 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.006""",1q2rb2/3b1r1k/p1p4p/B3p1p1/1PPpN3/3P1P1P/3QR1P1/4R1K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.007""",1r1qr1k1/1p3pp1/p1n1bn1p/2NN4/4P3/6P1/PP3PB1/2RQR1K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.008""",1r1r1bk1/1bq2ppp/pnp1p3/4P3/5P2/P1NBB3/1P4PP/R1QR2K1 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.009""",1r1r2k1/p1p1p3/4n1p1/5p2/8/R3B3/Pn2BPPP/4K2R b K -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.010""",1r1r2k1/pb3ppp/1p1ppn2/8/PPPP1P2/2NB2P1/3K3P/RR6 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.011""",1r1r3k/p4pp1/3nb2p/2p1q3/8/P1PBPP2/2Q3PP/R1B2RK1 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.012""",1r2r1k1/2qp1ppp/2p1pn2/8/8/2PBQ1P1/PP3P1P/R4RK1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.013""",1r2r1k1/2qp1ppp/2p2n2/4p3/1P6/2PBQ1P1/P4P1P/R4RK1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.014""",1r2rn2/1p3pk1/p4npp/P2p4/1P1N2P1/1P3P1P/4BK2/2R1R3 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.015""",1r3rk1/2qnbppp/2p1p3/pbPpP3/8/PP2QNP1/3B1PBP/2R1R1K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.016""",1r4k1/p3pr1p/1qbp1pp1/2p5/2P5/1PN1Q2P/P2R1PP1/3R3K b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.017""",1rbr2k1/p1q2p1p/2n1p1p1/1p4Q1/2pPP3/2P3P1/P1B1N1PP/2R2RK1 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.018""",1rq2r2/Q3pp1k/1B1p2pb/4n2p/2PN4/PP5P/3nBPP1/R2R2K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.019""",1rr3k1/p2qbpnp/Ppp3p1/3pP3/3P4/1Q1B1P2/1P1B1P1P/2R3RK b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.020""",1rrqb3/1p3kp1/p3p2p/P1Rp1p1P/3P1P2/6P1/1P1QBPK1/2R5 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.021""",2r1n1k1/1p1R1r1p/2q1pp1B/p5p1/6P1/Q1P4P/PP6/1K1R4 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.022""",2r1r1k1/1b1n1pp1/1q2p2p/3p3n/P2N4/BP1NPP1P/2B3P1/2R1Q1K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.023""",2r1r1k1/1b1q1pp1/4p2p/1Nnp3n/1N6/PP2PP1P/1BB2QP1/3R2K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.024""",2r1r1k1/1p1npp1p/p2pb1p1/q7/2PnP3/1PNN2PP/P2Q1PB1/2RR2K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.025""",2r2bk1/R4pp1/3pqnnp/R3p3/1P2P3/3Q1NNP/2rB1PPK/8 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.026""",2r2r1k/1bqnbppp/p3p3/1p1pP3/3B1P2/P1NB4/1PP2QPP/R4R1K w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.027""",2r2rk1/1p2bpp1/p3p3/4P1N1/PqB3P1/1Pn2NQ1/2b2P1P/R3R1K1 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.028""",2r2rk1/pp3ppp/2nb1q2/P3pb2/2P5/1NB3P1/1Q2PPBP/R4RK1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.029""",2r3k1/1pq1b1p1/p1b1pr1p/8/PP2pP2/2P1B3/4B1PP/RQR4K w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.030""",2r3k1/5p2/pr3p1p/8/3N2q1/P3P1P1/1P1Q1PP1/5RK1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.031""",2r5/1r2nkp1/p3p2p/1p1b1p1P/8/PP3P2/1KPRB1P1/R5B1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.032""",2r5/3npk1p/1p1p1r2/pP1P2p1/3N1pP1/1P3P2/2P1R2P/R5K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.033""",2rqr1k1/5ppp/n4b2/pbP5/3p4/P4NP1/1N2PPBP/2RQR1K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.034""",2rr2k1/1b3ppp/pp2pn2/2n5/2BNP3/4KPNP/PP4P1/2R4R w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.035""",2rr2k1/1q3pp1/pp1pp2p/4n3/2PNP3/1P4P1/P1R1QPKP/3R4 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.036""",3b2rk/5pp1/2q2n1p/1p2BP2/7P/2NQ4/1PP5/1K4R1 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.037""",3q2k1/1p1bprbp/3pn1p1/3N4/1PP5/r3B3/3QBPPP/2R1R1K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.038""",3r1nk1/pp2q2p/2p3p1/2NnPp2/5P2/1Q6/PP1rNRPP/2R3K1 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.039""",3r1rk1/2pq2pp/p4pb1/1p6/4P1P1/2PnQN1P/PP1N1P2/RR4K1 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.040""",3r1rk1/3n1pbp/1p1p2p1/pN1Ppn1q/2P3b1/PPN3P1/1B1Q1P1P/R3R1KB w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.041""",3r2k1/1p2bpp1/pNrppnqp/8/1PPBP3/P4Q1P/5PP1/3RR1K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.042""",3r2k1/5p2/p1prb2p/1p2q3/4Pp2/1P1B1P2/P3Q1PP/2RR1K2 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.043""",3rn1k1/1pqn1pp1/p3br1p/2P1p3/P3P3/3BBN1P/2P3PQ/RR5K w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.044""",3rr1k1/1bqn1ppp/p1p5/1p2b3/4P3/P3BB1P/1PQ1NPP1/1R1R3K b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.045""",3rr1k1/1p5p/p2B1bp1/5b2/1RP2P2/1PN5/1P1R1K1P/8 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.046""",3rr1k1/1q2bp1p/2b3pB/3npP2/1p6/5B2/NPP3PP/3RQR1K w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.047""",4b3/ppr1bpk1/2n1p1p1/1B1rP2p/3P3P/P1R1BNP1/5PK1/2R5 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.048""",4q1k1/p5p1/1rp1p1p1/2R1Pp2/1PQ5/P5P1/5PK1/8 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.049""",4r1k1/3bpr1p/1qpp1ppQ/p7/2P1N3/1P5P/P2R1PP1/3R3K b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.050""",4r1k1/p2bpr1p/1qpp2pQ/5p2/2P4P/1P4N1/P2R1PP1/3R3K b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.051""",4rk2/2p1rpp1/pbn3bp/1p2P3/PP6/1BP2NNP/5PP1/2R1R1K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.052""",4rrk1/1q4pp/4p3/2bp4/5P2/3Q4/1PP3PP/R1B2R1K w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.053""",4rrk1/p2n2pp/qp2pb2/2p5/2P2P2/P1BP1Q2/4N1PP/1R3RK1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.054""",5nk1/1bq2pp1/rp1r1b1p/1R1p1B2/2pP4/2N1PN2/PQ3PPP/1R4K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.055""",5r1k/1p2q1pp/p1p2n2/5r2/3Pp3/4P2R/PPB2PQP/6RK b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.056""",5r2/5r1k/p2pN1p1/1p1Pn2p/2q1P2b/P4pR1/1PPQ1B1P/1K2R3 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.057""",5rk1/1prn1qp1/p2p3p/3Ppp1P/7R/1NPQ1PP1/PP6/1K1R4 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.058""",5rk1/2nq2pp/3p1p2/3P4/3B1Q2/PrN3P1/4PP1P/R5K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.059""",5rk1/p2qp2p/1p1p1pp1/2nN1P1r/P1P1P3/1P2R1P1/1Q4KP/4R3 w - -,0,1,0
